Topic,Text,Question,Answer
Galaxies,"Nearly all stars belong to gigantic groups known as galaxies. The Sun is one of at least 100 billion stars in our galaxy, the Milky Way. And there are billions of galaxies in the Universe. Everywhere we look in the sky there are galaxies of different shapes and sizes. Some are spirals, with curved arms wrapped around a bright central core. Some have a bar of stars across the center, with arms attached at either end. Others have no recognisable shape at all. The largest galaxies look like squashed balls. They contain up to 10 million million stars, but they have very little gas or dust. Nearly all galaxies have a supermassive black hole at the center. Galaxies were born only a few hundred million years after the Universe was created. At that time, about 13 billion years ago, the galaxies were small and much closer together. Collisions were common. As the galaxies smashed into each other they grew in size and changed shape. Since then, the Universe has been expanding. Most galaxies are moving apart at high speed, except in galaxy clusters where they dance around each other.",what looks like the largest galaxy?,The largest galaxies look like squashed balls
Galaxies,"Nearly all stars belong to gigantic groups known as galaxies. The Sun is one of at least 100 billion stars in our galaxy, the Milky Way. And there are billions of galaxies in the Universe. Everywhere we look in the sky there are galaxies of different shapes and sizes. Some are spirals, with curved arms wrapped around a bright central core. Some have a bar of stars across the center, with arms attached at either end. Others have no recognisable shape at all. The largest galaxies look like squashed balls. They contain up to 10 million million stars, but they have very little gas or dust. Nearly all galaxies have a supermassive black hole at the center. Galaxies were born only a few hundred million years after the Universe was created. At that time, about 13 billion years ago, the galaxies were small and much closer together. Collisions were common. As the galaxies smashed into each other they grew in size and changed shape. Since then, the Universe has been expanding. Most galaxies are moving apart at high speed, except in galaxy clusters where they dance around each other.",how many stars are in the galaxies?,They contain up to 10 million million stars
Galaxies,"Nearly all stars belong to gigantic groups known as galaxies. The Sun is one of at least 100 billion stars in our galaxy, the Milky Way. And there are billions of galaxies in the Universe. Everywhere we look in the sky there are galaxies of different shapes and sizes. Some are spirals, with curved arms wrapped around a bright central core. Some have a bar of stars across the center, with arms attached at either end. Others have no recognisable shape at all. The largest galaxies look like squashed balls. They contain up to 10 million million stars, but they have very little gas or dust. Nearly all galaxies have a supermassive black hole at the center. Galaxies were born only a few hundred million years after the Universe was created. At that time, about 13 billion years ago, the galaxies were small and much closer together. Collisions were common. As the galaxies smashed into each other they grew in size and changed shape. Since then, the Universe has been expanding. Most galaxies are moving apart at high speed, except in galaxy clusters where they dance around each other.",Galaxies were born at the same time with the birth of the Universe?,Galaxies were born only a few hundred million years after the Universe was created
What Is Gravity?,"Have you ever wondered why you always fall back to the ground with a bump, no matter how high you jump? People were asking the same question 340 years ago. Then a British scientist named Isaac Newton discovered the force of gravity. The story tells how Isaac was in his garden when an apple fell on his head. While he was rubbing his bruise, he began to wonder why the apple had struck him and not shot upwards instead. Newton came up with the idea that some unseen force must attract the apple towards the Earth. He named this force “gravity” - from the Latin word “gravitas”, meaning “weight”. Newton realized that every object in the Universe attracts every other object in the Universe. Even an apple tugs slightly at everything around it. It is gravity that holds the Moon in orbit around the Earth, and gravity that enables the Sun to hold onto its family of planets. The pull of the Sun and Moon also causes Earth’s ocean tides. However, the strength of gravity depends on the size and density of an object – what scientists call its “mass”. The tiny apple’s gravity is too weak to overcome the attraction of the huge Earth, so it falls towards the center of the planet. Gravity’s pull by an object decreases with distance from it. A climber on top of Mt. Everest weighs a little less than at sea level. If a spaceship travels far enough from Earth, it will eventually escape the planet’s pull completely.",What objects are having gravity?,every object in the Universe attracts every other object in the Universe
What Is Gravity?,"Have you ever wondered why you always fall back to the ground with a bump, no matter how high you jump? People were asking the same question 340 years ago. Then a British scientist named Isaac Newton discovered the force of gravity. The story tells how Isaac was in his garden when an apple fell on his head. While he was rubbing his bruise, he began to wonder why the apple had struck him and not shot upwards instead. Newton came up with the idea that some unseen force must attract the apple towards the Earth. He named this force “gravity” - from the Latin word “gravitas”, meaning “weight”. Newton realized that every object in the Universe attracts every other object in the Universe. Even an apple tugs slightly at everything around it. It is gravity that holds the Moon in orbit around the Earth, and gravity that enables the Sun to hold onto its family of planets. The pull of the Sun and Moon also causes Earth’s ocean tides. However, the strength of gravity depends on the size and density of an object – what scientists call its “mass”. The tiny apple’s gravity is too weak to overcome the attraction of the huge Earth, so it falls towards the center of the planet. Gravity’s pull by an object decreases with distance from it. A climber on top of Mt. Everest weighs a little less than at sea level. If a spaceship travels far enough from Earth, it will eventually escape the planet’s pull completely.",What decide intensity of gravity?,the strength of gravity depends on the size and density of an object
Mars,"Mars is often called the 'Red Planet' because it appears in the sky as an orange-red star. The colour caused the ancient Greeks and Romans to name it after their god of war. Today, thanks to visiting spacecraft, we know that the planet's appearance is due to rust in the Martian rocks. Mars is the fourth planet from the Sun. It orbits the Sun at an average distance of 228 million km, half as far again as the Earth, so human visitors would find it very cold. Although summers near the equator can be quite warm, the average temperature is 63 degrees Celsius below zero - similar to winters in Antarctica. The nights are also bitterly cold. The first humans on Mars will have other problems to face. The air is 100 times thinner than on Earth, and mostly made up of carbon dioxide. Human explorers will have to wear oxygen masks and special suits every time they step outside their sealed homes. Violent storms can whip up clouds of dust. Sometimes these spread rapidly around the entire planet, hiding the surface from view.",How we knew that the Mars looks red?,"hanks to visiting spacecraft, we know that the planet's appearance is due to rust in the Martian rocks."
Mars,"Mars is often called the 'Red Planet' because it appears in the sky as an orange-red star. The colour caused the ancient Greeks and Romans to name it after their god of war. Today, thanks to visiting spacecraft, we know that the planet's appearance is due to rust in the Martian rocks. Mars is the fourth planet from the Sun. It orbits the Sun at an average distance of 228 million km, half as far again as the Earth, so human visitors would find it very cold. Although summers near the equator can be quite warm, the average temperature is 63 degrees Celsius below zero - similar to winters in Antarctica. The nights are also bitterly cold. The first humans on Mars will have other problems to face. The air is 100 times thinner than on Earth, and mostly made up of carbon dioxide. Human explorers will have to wear oxygen masks and special suits every time they step outside their sealed homes. Violent storms can whip up clouds of dust. Sometimes these spread rapidly around the entire planet, hiding the surface from view.",What is the high temperature in Mars?,"summers near the equator can be quite warm, the average temperature is 63 "
Mars,"Mars is often called the 'Red Planet' because it appears in the sky as an orange-red star. The colour caused the ancient Greeks and Romans to name it after their god of war. Today, thanks to visiting spacecraft, we know that the planet's appearance is due to rust in the Martian rocks. Mars is the fourth planet from the Sun. It orbits the Sun at an average distance of 228 million km, half as far again as the Earth, so human visitors would find it very cold. Although summers near the equator can be quite warm, the average temperature is 63 degrees Celsius below zero - similar to winters in Antarctica. The nights are also bitterly cold. The first humans on Mars will have other problems to face. The air is 100 times thinner than on Earth, and mostly made up of carbon dioxide. Human explorers will have to wear oxygen masks and special suits every time they step outside their sealed homes. Violent storms can whip up clouds of dust. Sometimes these spread rapidly around the entire planet, hiding the surface from view.",how different is the air compared to the air of the Earth?,"The air is 100 times thinner than on Earth, and mostly made up of carbon dioxide"
Birth of the Moon,"The Moon has been circling the Earth for more than four billion years. But where did it come from? Some scientists thought that it was captured by the Earth when it came too close. Others thought that it was once part of the Earth. Today, most scientists believe it is the 'Earth's child'. It was born when a wandering planet crashed into the young Earth. Huge amounts of material were thrown into space, eventually coming together to form the Moon. This 'big splash' theory would explain why the Moon’s rocks are very similar to those on the Earth. Unlike the Earth, the Moon seems to be dead inside. Today, there are no volcanic eruptions and any Moonquakes are very small. At its center is a small, solid iron core. There is no magnetic field, so explorers could not use compasses on the Moon.",Why people believe the Moon is the Earth's child?,It was born when a wandering planet crashed into the young Earth
Birth of the Moon,"The Moon has been circling the Earth for more than four billion years. But where did it come from? Some scientists thought that it was captured by the Earth when it came too close. Others thought that it was once part of the Earth. Today, most scientists believe it is the 'Earth's child'. It was born when a wandering planet crashed into the young Earth. Huge amounts of material were thrown into space, eventually coming together to form the Moon. This 'big splash' theory would explain why the Moon’s rocks are very similar to those on the Earth. Unlike the Earth, the Moon seems to be dead inside. Today, there are no volcanic eruptions and any Moonquakes are very small. At its center is a small, solid iron core. There is no magnetic field, so explorers could not use compasses on the Moon.",Does the Moon also has some activities like volcano?,"the Moon seems to be dead inside. Today, there are no volcanic eruptions and any Moonquakes are very small. "
